#KEY	Clip_wcdRFP_II_2	Clip_wcdRFP_III_2	Clip_bamGFP_I_2	Clip_bamGFP_II_2	Clip_bamGFP_III_2
128up	2989	2637	1567	1267	1747
14-3-3epsilon	22090	20786	11478	10416	12916
14-3-3zeta	32635	32761	14438	11214	21692
140up	489	407	175	173	290
18SrRNA:CR41548	0	0	0	0	0
18SrRNA:CR45838	0	0	0	0	0
18SrRNA:CR45841	0	0	0	0	0
18w	3325	3668	5326	3321	3854
26-29-p	13734	14295	3990	3471	5359
28SrRNA:CR45837	0	0	0	0	0
28SrRNA:CR45844	0	0	0	0	0
2SrRNA:CR45836	0	0	0	0	0
2SrRNA:CR45840	0	0	0	0	0
2SrRNA:CR45843	0	0	0	0	0
2SrRNA:CR45864	0	0	0	0	0
2mit	5	0	0	0	0
312	412	447	133	223	221
4E-T	6728	6473	1944	2199	3787
4EHP	2626	2536	816	1151	1245
5-HT1A	4	1	0	0	2
5-HT1B	0	0	0	0	0
5-HT2A	154	145	28	29	38
5-HT2B	7	0	0	9	0
5-HT7	0	0	0	0	6
5.8SrRNA:CR40454	0	1	138	3	101
5.8SrRNA:CR45839	0	0	0	0	0
5.8SrRNA:CR45842	0	0	0	0	0
5.8SrRNA:CR45852	0	0	0	0	0
5PtaseI	1049	994	201	366	567
5SrRNA:CR33353	0	0	0	0	0
5SrRNA:CR33354	0	0	0	0	0
5SrRNA:CR33355	0	0	0	0	0
5SrRNA:CR33357	0	0	0	0	0
5SrRNA:CR33358	0	0	0	0	0
5SrRNA:CR33359	0	0	0	0	0
5SrRNA:CR33360	0	0	0	0	0
5SrRNA:CR33361	0	0	0	0	0
5SrRNA:CR33362	0	0	0	0	0
5SrRNA:CR33364	0	0	0	0	0
5SrRNA:CR33365	0	0	0	0	0
5SrRNA:CR33366	0	0	0	0	0
5SrRNA:CR33367	0	0	0	0	0
5SrRNA:CR33368	0	0	0	0	0
5SrRNA:CR33369	0	0	0	0	0
5SrRNA:CR33370	0	0	0	0	0
5SrRNA:CR33372	0	0	0	0	0
5SrRNA:CR33373	0	0	0	0	0
5SrRNA:CR33374	0	0	0	0	0
5SrRNA:CR33375	0	0	0	0	0
5SrRNA:CR33376	0	0	0	0	0
